species,Synurbic,cites,Type of anth roosting structure,Reference 1,Reference 2,Reference 3,Complete,Reference No,Year(s) of Pub,Comments,
Taphozous theobaldi,0,1,NA,http://doi.org/10.5281/zenodo.3740269,,,yes,144,2019,cave roosting,
Taphozous troughtoni,1,0,abandoned mines and tunnels,https://dx.doi.org/10.2305/IUCN.UK.2021-3.RLTS.T21466A209539933.en,,,yes,547,2021,,
Thoopterus nigrescens,NA,0,,,,,yes,NA,NA,"roosting ecology not known/could not locate, leaving as NA",
Thoopterus suhaniahae,NA,0,,,,,yes,NA,NA,"roosting ecology not known/could not locate, leaving as NA",
Thyroptera devivoi,0,0,NA,http://dx.doi.org/10.1590/1676-0611-BN-2019-0821,http://hdl.handle.net/1808/33721,,yes,"548, 549","2020, 2023",found roosting in leaf of dead palm tree,
Thyroptera discifera,0,0,NA,http://hdl.handle.net/1808/33721,https://doi.org/10.2307/3504064,"Nowak 1994, pg 181-182",yes,"549, 550, 1","2023, 1978, 1994","dead banana leaves, DOI for first link (DOI:10.12933/therya-23-2199)",
Thyroptera lavali,0,1,NA,"Nowak 1994, pg 181-182",https://doi.org/10.1206/3795.1,http://hdl.handle.net/1808/33721,yes,"1, 551, 549","1994, 2014, 2023",leaf roosting based on genus trends,
Thyroptera tricolor,0,12,NA,https://doi.org/10.2307/3503885,"Nowak 1994, pg 181-182",http://hdl.handle.net/1808/33721,yes,"552, 549, 1","1977, 2023, 1994",dead heliconia leaves,
Thyroptera wynneae,0,0,NA,https://doi.org/10.1206/3795.1,http://hdl.handle.net/1808/33721,,yes,"551, 549","2014, 2023",dead ceropia leaf,
Tomopeas ravus,0,1,NA,"Nowak 1994, pg 229-230",http://doi.org/10.5281/zenodo.6418279,,yes,"1, 99","1994, 2019",granit boulders and outcroppings,
Tonatia bidens,1,1,water mines,https://doi.org/10.1111/mam.12254,http://doi.org/10.5281/zenodo.6458594,,yes,"553, 41","2021, 2019",also tree hollows,
Tonatia saurophila,0,4,NA,https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T41530A22004890.en,https://doi.org/10.1111/mam.12254,,yes,"554, 443","2018, 2021",,
Trachops cirrhosus,1,27,"mayan building, culverts, abandoned railroad tunnel","Nowak 1994, pg 138",http://doi.org/10.5281/zenodo.6458594,,yes,"1, 41","1994, 2019",,
Triaenops afer,1,2,abandoned mine,"Skinner and Chimimba 2005, pg ",http://doi.org/10.5281/zenodo.6611814,,yes,"132, 87","2005, 2019",,
Triaenops menamena,1,0,mine shaft,https://www.africanbats.org/Documents/Papers/Ramazindraza_and_Goodman_2014.pdf,,,yes,555,2014,,
Triaenops parvus,0,0,NA,http://doi.org/10.5281/zenodo.6611814,,,yes,87,2019,cave roosting,
Triaenops persicus,1,3,mines and underground water tunnels,"Nowak 1994, pg 117-118",http://doi.org/10.5281/zenodo.6611814,,yes,"1, 87","1994, 2019",,
Triaenops rufus,1,0,NA,https://www.proquest.com/scholarly-journals/taxonomic-revision-genus-triaenops-chiroptera/docview/206307760/se-2,,,yes,556,2009,synonym of T. persicus,
Trinycteris nicefori,1,1,"concrete buildin, tunnel",http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,,
Tylonycteris pachypus,0,14,NA,https://doi.org/10.1644/910,"Nowak 1994, pg 203-204",,yes,"557, 1","2014, 1994",bamboo roosting,
Tylonycteris pygmaeus,0,0,NA,https://doi.org/10.2108/zsj.25.225,,,yes,558,2008,bamboo roosting,
Tylonycteris robustula,0,5,NA,"Nowak 1994, pg 203-204",http://doi.org/10.5281/zenodo.6397752,,yes,"1, 154",1994m 2019,bamboo roosting,
Uroderma bakeri,0,0,NA,"Nowak 1994, pg 154",,,yes,1,1994,based on genus trends,
Uroderma bilobatum,0,19,NA,https://doi.org/10.2307/3503922,"Nowak 1994, pg 154",,yes,"559, 1","1987, 1994","tent making bat, foilage roosting",
Uroderma magnirostrum,0,3,NA,http://doi.org/10.5281/zenodo.6458594,"Nowak 1994, pg 154",,yes,"41, 1","2019, 1994","tent making bat, foilage roosting",
Vampyressa bidens,0,1,NA,https://doi.org/10.2307/0.684.1,https://doi.org/10.1111/jzs.12329,,yes,"560, 561","2001, 2020",tree roosting,
Vampyressa brocki,NA,0,,,,,yes,NA,NA,"roosting ecology not known/could not locate, rare species, leaving as NA",
Vampyressa elisabethae,NA,0,,,,,yes,NA,NA,"roosting ecology not known/could not locate, leaving as NA",
Vampyressa melissa,NA,0,,,,,yes,NA,NA,"roosting ecology not known/could not locate, rare species, leaving as NA",
Vampyressa nymphaea,0,0,NA,https://doi.org/10.3161/1733-5329(2005)7[171:TUBVNC]2.0.CO;2,http://doi.org/10.5281/zenodo.6458594,,yes,"562, 41","2005, 2019",modified leaves,
Vampyressa pusilla,0,1,NA,https://doi.org/10.1017/S0266467400001528,,,yes,563,2000,modified leaves,
Vampyressa sinchi,NA,0,,,,,yes,NA,NA,"roosting ecology not known/could not locate, rare species, leaving as NA",
Vampyressa thyone,0,0,NA,http://doi.org/10.5281/zenodo.6458594,,,yes,41,2019,modified leaves,
Vampyrodes caraccioli,0,1,NA,"Nowak 1994, pg 156-157",http://doi.org/10.5281/zenodo.6458594,,yes,41,2019,"Foilage, branches, and palm fronds",
Vampyrum spectrum,1,3,church,"Nowak 1994, pg 139-140",,,yes,1,1994,,
Vespadelus baverstocki,1,0,abandoned buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Vespadelus caurinus,1,0,disused mines and road culverts,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Vespadelus darlingtoni,1,0,bat boxes,https://doi.org/10.1071/AM18026,,,yes,564,2018,,
Vespadelus douglasorum,1,0,abandoned buildings,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Vespadelus finlaysoni,1,0,abandoned mines,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Vespadelus pumilus,0,1,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,tree roosting,
Vespadelus regulus,1,1,houses,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,,
Vespadelus troughtoni,1,0,shed with tin roof,https://doi.org/10.1071/ZO06069,,,yes,565,2007,,
Vespadelus vulturnus,0,4,NA,http://doi.org/10.5281/zenodo.6397752,,,yes,154,2019,tree roosting,
Vespertilio murinus,1,15,"houses, crevices in tall buildings, nest boxes",https://dx.doi.org/10.2305/IUCN.UK.2016-2.RLTS.T22947A22071456.en,,,yes,566,2016,,
Vespertilio sinensis,1,10,"houses, buildings, under bridges, and tunnels",https://dx.doi.org/10.2305/IUCN.UK.2019-3.RLTS.T22949A22071812.en,,,yes,567,2019,,
Xeronycteris vieirai,0,0,NA,https://www.redalyc.org/journal/457/45758865008/html/,,,yes,568,2018,cave roosting,
